1	1	1	R1.01	1	1	12.5
1	1	1	R1.01	7	13	16
2	1	2	R1.06	3	4	9
2	1	2	R1.06	9	16	17
3	2	3	R2.01	1	2	10.5
3	2	3	R2.01	7	14	14
4	2	3	R2.01	5	8	12
4	2	3	R2.01	11	20	13.75
5	2	4	R2.12	1	2	15.25
5	2	4	R2.12	7	14	18
6	3	5	R3.07	3	5	12
6	3	5	R3.07	9	17	7
7	3	6	R3.09	5	9	16
7	3	6	R3.09	11	21	9
8	4	7	R4.02	3	6	17
8	4	7	R4.02	9	18	9.5
9	4	8	R4.10	5	10	11.5
9	4	8	R4.10	11	22	14.75
10	5	9	R5.06	5	11	16
10	5	9	R5.06	11	23	19.8
11	5	10	R5.05	5	11	7.64
11	5	10	R5.05	11	23	2.21
12	6	11	R6.09	5	12	8.75
12	6	11	R6.09	11	24	11.4
13	6	12	R6.11	5	12	13.95
13	6	12	R6.11	11	24	9.99
14	1	13	S1.06	1	1	17.5
14	1	13	S1.06	7	13	14.20
15	2	14	S2.05	1	2	15.15
15	2	14	S2.05	7	14	10
16	3	15	S3.04	3	5	11.25
16	3	15	S3.04	9	17	17.40
17	4	16	S4.03	3	6	18.75
17	4	16	S4.03	9	18	20
18	5	17	S5.02	5	11	13.30
18	5	17	S5.02	11	23	18.63
19	6	18	S6.01	5	12	13
19	6	18	S6.01	11	24	15.40
